RA_OBJ DEC_OBJ KEPLERID Quarter EXPOSURE CLUSTER mmd_flux mmd_mag
290.14349365234375 37.69501495361328 2297113 17.0 24.456804275512695 "NGC 6791" 0.0028373945970088243 0.0030812229961156845
290.1452331542969 37.6962776184082 2297125 17.0 24.456804275512695 "NGC 6791" 0.0037326605524867773 0.004051644820719957
290.1497497558594 37.69062423706055 2297143 17.0 24.456804275512695 "NGC 6791" 0.003696934785693884 0.004013454541563988
290.1549072265625 37.6762809753418 2297168 17.0 24.456804275512695 "NGC 6791" 0.0027873157523572445 0.0030253769364207983
290.15570068359375 37.69681167602539 2297175 17.0 24.456804275512695 "NGC 6791" 0.00240353518165648 0.0026100408285856247
290.1614685058594 37.69468688964844 2297206 17.0 24.456804275512695 "NGC 6791" 0.004944483749568462 0.005370521917939186
290.161865234375 37.667396545410156 2297209 17.0 24.456806182861328 "NGC 6791" 0.001326880301348865 0.001440617605112493
290.168212890625 37.67089080810547 2297257 17.0 24.456806182861328 "NGC 6791" 0.005337852984666824 0.005795045290142298
290.171142578125 37.68867874145508 2297273 17.0 24.456804275512695 "NGC 6791" 0.002507574390619993 0.002722439356148243
290.1743469238281 37.665672302246094 2297297 17.0 24.456806182861328 "NGC 6791" 0.0017187889898195863 0.0018665371462702751
290.1773681640625 37.69353103637695 2297310 17.0 24.456804275512695 "NGC 6791" 0.001142068998888135 0.0012401118874549866
290.1776123046875 37.66624069213867 2297311 17.0 24.456806182861328 "NGC 6791" 0.0023633672390133142 0.0025657876394689083
290.178466796875 37.65732955932617 2297319 17.0 24.456806182861328 "NGC 6791" 0.0027010648045688868 0.002932520117610693
290.1793518066406 37.66632080078125 2297322 17.0 24.456806182861328 "NGC 6791" 0.006007783114910126 0.006521075032651424
290.1864013671875 37.684688568115234 2297366 17.0 24.456804275512695 "NGC 6791" 0.002448044950142503 0.002659044461324811
290.18988037109375 37.66413879394531 2297384 17.0 24.456806182861328 "NGC 6791" 0.0004332199750933796 0.00047035873285494745
290.1946716308594 37.66590881347656 2297413 17.0 24.456806182861328 "NGC 6791" 0.003018787130713463 0.0032772424165159464
290.19622802734375 37.691646575927734 2297424 17.0 24.456804275512695 "NGC 6791" 0.006080347578972578 0.006606134586036205
290.1966552734375 37.683021545410156 2297427 17.0 24.456806182861328 "NGC 6791" 0.0031764667946845293 0.0034481685142964125
290.1971740722656 37.69807052612305 2297430 17.0 24.456804275512695 "NGC 6791" 0.002841987879946828 0.0030852542258799076
290.20086669921875 37.69712448120117 2297450 17.0 24.456804275512695 "NGC 6791" 0.00286084390245378 0.003105803159996867
290.2009582519531 37.67357635498047 2297451 17.0 24.456806182861328 "NGC 6791" 0.002577725565060973 0.002799323992803693
290.20465087890625 37.69949722290039 2297465 17.0 24.456804275512695 "NGC 6791" 0.0022805966436862946 0.0024766952265053988
290.2065734863281 37.68726348876953 2297483 17.0 24.456806182861328 "NGC 6791" 0.003967530559748411 0.004308778326958418
290.2079162597656 37.69411849975586 2297488 17.0 24.456804275512695 "NGC 6791" 0.0033254644367843866 0.0036102456506341696
290.20867919921875 37.692230224609375 2297493 17.0 24.456806182861328 "NGC 6791" 0.0030805571004748344 0.0033434380311518908
290.20953369140625 37.668601989746094 2297497 17.0 24.456806182861328 "NGC 6791" 0.0022772406227886677 0.0024724456015974283
290.21136474609375 37.683189392089844 2297508 17.0 24.456806182861328 "NGC 6791" 0.004472935572266579 0.004857143387198448
290.2115478515625 37.69691467285156 2297509 17.0 24.456804275512695 "NGC 6791" 0.0026916582137346268 0.0029225312173366547
290.2127990722656 37.69150161743164 2297517 17.0 24.456806182861328 "NGC 6791" 0.0037856625858694315 0.00411244248971343
290.2159729003906 37.692169189453125 2297533 17.0 24.456806182861328 "NGC 6791" 0.0037656466010957956 0.004088590852916241
290.2178649902344 37.69891357421875 2297546 17.0 24.456804275512695 "NGC 6791" 0.0017064459389075637 0.001852455548942089
290.2197265625 37.69870376586914 2297563 17.0 24.456806182861328 "NGC 6791" 0.0018609625985845923 0.0020209841895848513
290.22344970703125 37.67707061767578 2297584 17.0 24.456806182861328 "NGC 6791" 0.004297113046050072 0.0046655782498419285
290.226806640625 37.68418502807617 2297601 17.0 24.456806182861328 "NGC 6791" 0.0021801861003041267 0.0023671414237469435
290.2272033691406 37.6891975402832 2297603 17.0 24.456806182861328 "NGC 6791" 0.0036006332375109196 0.003908882383257151
290.2280578613281 37.680702209472656 2297613 17.0 24.456806182861328 "NGC 6791" 0.001494504977017641 0.0016222939593717456
290.2303771972656 37.698272705078125 2297623 17.0 24.456806182861328 "NGC 6791" 0.0032839251216500998 0.003563825972378254
290.2331848144531 37.69496154785156 2297637 17.0 24.456806182861328 "NGC 6791" 0.0018001022981479764 0.001954573905095458
290.2336730957031 37.69351577758789 2297641 17.0 24.456806182861328 "NGC 6791" 0.0015896083787083626 0.0017258349107578397
290.2406311035156 37.69268798828125 2297671 17.0 24.456806182861328 "NGC 6791" 0.005729477386921644 0.006221500225365162
290.242431640625 37.697025299072266 2297682 17.0 24.456806182861328 "NGC 6791" 0.015245722606778145 0.01656004600226879
290.2474365234375 37.69681167602539 2297710 17.0 24.456806182861328 "NGC 6791" 0.002043247688561678 0.0022185570560395718
290.25238037109375 37.698299407958984 2297732 17.0 24.456806182861328 "NGC 6791" 0.002282590139657259 0.0024777199141681194
290.2566223144531 37.694271087646484 2297764 17.0 24.456806182861328 "NGC 6791" 0.0030794383492320776 0.0033430110197514296
290.0692138671875 37.789634704589844 2435917 17.0 24.45680046081543 "NGC 6791" 0.0022959145717322826 0.0024932543747127056
290.07305908203125 37.78099060058594 2435938 17.0 24.456802368164062 "NGC 6791" 0.0023741309996694326 0.0025781558360904455
290.075439453125 37.79317092895508 2435950 17.0 24.45680046081543 "NGC 6791" 0.003929088823497295 0.004266567528247833
290.08221435546875 37.78194046020508 2435987 17.0 24.456802368164062 "NGC 6791" 0.00047789496602490544 0.0005188545910641551
290.0914001464844 37.78740692138672 2436045 17.0 24.456802368164062 "NGC 6791" 0.014462403021752834 0.015706703066825867
290.09307861328125 37.77402877807617 2436057 17.0 24.456802368164062 "NGC 6791" 0.006387177389115095 0.006937216967344284
290.0987548828125 37.745479583740234 2436078 17.0 24.456802368164062 "NGC 6791" 0.006317661609500647 0.006863314658403397
